"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 7, 45
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 11, 5, 58
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 5, 28
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\accept_bboking_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\add_vehicle_binding.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\change_password.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\create_booking_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\display_driver_by_vehicle_type.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\display_vehicle_type_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_home_page_bindings.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 15, 7, 64
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_login_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_main_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 1, 13
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_profile_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_signup_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\get_accpeted_driver_binding.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\get_booking_binding.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\khalti_payment_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 9, 6, 23
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\main_bindings.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 2, 14
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_login_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_otp_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_profile_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_signup_binding.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_upcoming_booking_binding.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_upcoming_bookings_binding.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\constants\api_constants.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 4
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\constants\constant.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\accept_booking_controller.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 6, 8, 87
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\add_vehicle_controller.dart", "Dart", 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 18, 36, 338
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\auth_controller.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 3, 15
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\change_password.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 8, 9, 80
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\create_booking_controller.dart", "Dart", 0, 0, 0, 0, 0, 417, 0, 0, 0, 0, 48, 60, 525
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\display_driver_by_vehicle_type_controller.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 8, 14, 95
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\display_vehicle_type_controller.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 63, 20, 125
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\driver_home_page_controller.dart", "Dart", 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 48, 64, 438
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\driver_login_controller.dart", "Dart", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 95, 34, 245
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\driver_profile_controller.dart", "Dart", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 17, 150
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\driver_signup_controller.dart", "Dart", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 4, 11, 108
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\get_accepted_drivers_controller.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 10, 17, 155
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\get_booking_controller.dart", "Dart", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 165, 46, 396
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\khalti_payment_controller.dart", "Dart", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 4, 23, 169
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\location_controller.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\passenger_home_page_controller.dart", "Dart", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 11, 24, 226
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\passenger_login_controller.dart", "Dart", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 96, 39, 251
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\passenger_otp_controller.dart", "Dart", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 96, 26, 225
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\passenger_profile_controller.dart", "Dart", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 1, 20, 116
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\passenger_signup_controller.dart", "Dart", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 2, 18, 112
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\passenger_upcoming_bookings_controller.dart", "Dart", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 10, 95
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\helper\date_format.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 4, 21
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 2, 8, 55
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\booking_model.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 3, 16, 84
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\booking_model.g.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 7, 43
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\passenger_upcoming_booking.dart", "Dart", 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 43, 307
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\passenger_upcoming_booking.g.dart", "Dart", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 4, 19, 144
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\trip_history.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 14, 78
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\trip_history.g.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 11, 66
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\booking_model\upcomming_booking.dart", "Dart", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 38, 212
